factor,p_value,q_value
Factor5,0.00909067465363248,0.1363601198044872
Factor8,0.09951637219901337,0.7463727914926003
Factor1,0.9214380998521132,0.9638613315986884
Factor2,0.3806169858049372,0.9638613315986884
Factor3,0.6032515411698617,0.9638613315986884
Factor4,0.3881835852350987,0.9638613315986884
Factor6,0.9458874594412224,0.9638613315986884
Factor7,0.8403707067446579,0.9638613315986884
Factor9,0.5036457100009409,0.9638613315986884
Factor10,0.7349759139686753,0.9638613315986884
Factor11,0.5390168127440711,0.9638613315986884
Factor12,0.9638613315986884,0.9638613315986884
Factor13,0.7680552752932952,0.9638613315986884
Factor14,0.3976422613884669,0.9638613315986884
Factor15,0.4513125863844145,0.9638613315986884
