factor,p_value,q_value
Factor1,0.2689839319412378,0.7203627790022917
Factor2,0.14705703425163003,0.7203627790022917
Factor4,0.1428496130065171,0.7203627790022917
Factor6,0.3645440925345581,0.7203627790022917
Factor8,0.34583865259696056,0.7203627790022917
Factor12,0.3350894128502618,0.7203627790022917
Factor13,0.3841934821345556,0.7203627790022917
Factor14,0.2937269732633688,0.7203627790022917
Factor9,0.5003342832547135,0.8338904720911893
Factor3,0.6382709314998707,0.957406397249806
Factor5,0.8532614712321406,0.9625360813413077
Factor7,0.9585244118349473,0.9625360813413077
Factor10,0.9149072690711377,0.9625360813413077
Factor11,0.9625360813413077,0.9625360813413077
Factor15,0.7184315114584314,0.9625360813413077
