factor,p_value,q_value
Factor1,0.2989956350627745,0.5573747407433873
Factor3,0.10559410908497428,0.5573747407433873
Factor4,0.3012002849191316,0.5573747407433873
Factor6,0.15887460870340445,0.5573747407433873
Factor7,0.3156823466344802,0.5573747407433873
Factor9,0.07894519526820169,0.5573747407433873
Factor10,0.24862261420829043,0.5573747407433873
Factor13,0.30069152605403093,0.5573747407433873
Factor14,0.3344248444460324,0.5573747407433873
Factor15,0.4262861170440865,0.6394291755661297
Factor2,0.9182229179676193,0.9856956229314187
Factor5,0.8510450498477025,0.9856956229314187
Factor8,0.9856956229314187,0.9856956229314187
Factor11,0.9354372468620326,0.9856956229314187
Factor12,0.9329540350940043,0.9856956229314187
