factor,p_value,q_value
Factor5,0.00906389881861899,0.13595848227928484
Factor13,0.08208153903167692,0.6156115427375769
Factor8,0.1525519419183164,0.7627597095915819
Factor11,0.238280435472183,0.7802631494809826
Factor14,0.26008771649366086,0.7802631494809826
Factor3,0.4346284977473198,0.8149284332762247
Factor12,0.40258394784068646,0.8149284332762247
Factor15,0.37200621739056694,0.8149284332762247
Factor1,0.6697140870062666,0.8284091744606419
Factor2,0.6779671272273871,0.8284091744606419
Factor4,0.6666193740329268,0.8284091744606419
Factor9,0.7179546178658897,0.8284091744606419
Factor10,0.6288175146166106,0.8284091744606419
Factor6,0.9304006108470841,0.9304006108470841
Factor7,0.8782076919129166,0.9304006108470841
