factor,p_value,q_value
Factor5,0.0205227886454781,0.30784182968217155
Factor10,0.18377923913992364,0.6891721467747136
Factor12,0.17907151286619583,0.6891721467747136
Factor15,0.1781883588808249,0.6891721467747136
Factor1,0.23984745317670492,0.7195423595301147
Factor2,0.42519347164129107,0.9111288678027666
Factor13,0.39024178734017567,0.9111288678027666
Factor3,0.8511682941184939,0.9383069755105158
Factor4,0.9383069755105158,0.9383069755105158
Factor6,0.8646096527395681,0.9383069755105158
Factor7,0.7022710345259391,0.9383069755105158
Factor8,0.7668898263121953,0.9383069755105158
Factor9,0.5382894105919822,0.9383069755105158
Factor11,0.9217840559134908,0.9383069755105158
Factor14,0.7076955273476189,0.9383069755105158
