Patient_ID,Adipocytes,Astrocytes,B-cells,Basophils,CD4+ T-cells,CD4+ Tcm,CD4+ Tem,CD4+ memory T-cells,CD4+ naive T-cells,CD8+ T-cells,CD8+ Tcm,CD8+ Tem,CD8+ naive T-cells,CLP,CMP,Chondrocytes,Class-switched memory B-cells,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,GMP,HSC,Hepatocytes,Keratinocytes,MEP,MPP,MSC,Macrophages,Macrophages M1,Macrophages M2,Mast cells,Megakaryocytes,Melanocytes,Memory B-cells,Mesangial cells,Monocytes,Myocytes,NK cells,NKT,Neurons,Neutrophils,Osteoblast,Pericytes,Plasma cells,Platelets,Preadipocytes,Sebocytes,Skeletal muscle,Smooth muscle,Tgd cells,Th1 cells,Th2 cells,Tregs,aDC,cDC,iDC,ly Endothelial cells,mv Endothelial cells,naive B-cells,pDC,pro B-cells,ImmuneScore,StromaScore,MicroenvironmentScore
C3L-00017,0.0044,0.0,0.0493,0.0077,0.0063,0.002,0.0887,0.0148,0.0,0.0142,0.0133,0.0187,0.0,0.0142,0.0,0.066,0.0164,0.008,0.0,0.0002,0.6384,0.0,0.0029,0.0038,0.0682,0.0021,0.0911,0.0293,0.0,0.0675,0.015,0.0048,0.011,0.0008,0.0011,0.0073,0.0199,0.0081,0.0017,0.0004,0.0,0.0119,0.0049,0.0,0.0,0.0233,0.0217,0.0002,0.0,0.0521,0.0,0.2329,0.0083,0.0139,0.0373,0.0013,0.0766,0.0843,0.085,0.0,0.0,0.0,0.0035,0.0064,0.0637,0.0036,0.0673
C3L-00102,0.0,0.0,0.0116,0.0,0.0,0.0,0.0637,0.0203,0.0,0.0169,0.0196,0.0,0.0007,0.0093,0.0,0.0477,0.0137,0.0026,0.0,0.0004,0.6211,0.0,0.0385,0.022,0.1695,0.0012,0.0738,0.0123,0.0,0.3663,0.0028,0.0,0.0038,0.0,0.0007,0.0102,0.004,0.0101,0.0042,0.0,0.0,0.0204,0.0092,0.0035,0.0,0.0536,0.0102,0.0,0.0,0.0187,0.0,0.285,0.0,0.0,0.041,0.0069,0.0629,0.0686,0.0303,0.0037,0.0,0.0034,0.0,0.0,0.028,0.0192,0.0472
C3L-00189,0.0139,0.086,0.0204,0.0,0.0,0.0,0.0163,0.0103,0.0052,0.0148,0.0113,0.0,0.0006,0.0,0.0,0.0819,0.0338,0.0768,0.0019,0.0,0.5367,0.0,0.2091,0.0467,0.1733,0.0,0.1332,0.0284,0.0,0.406,0.0126,0.0,0.0078,0.0017,0.0019,0.0098,0.0,0.0,0.0208,0.0,0.0,0.068,0.0085,0.0,0.0,0.1746,0.0116,0.0,0.0,0.0503,0.0,0.2865,0.0,0.0,0.0502,0.0339,0.1469,0.3625,0.5132,0.0007,0.0,0.0,0.0,0.0,0.0981,0.1124,0.2105
C3L-00277,0.0025,0.0,0.0,0.0119,0.0,0.0001,0.0313,0.0028,0.0,0.0002,0.0,0.0,0.0021,0.0209,0.0,0.0249,0.003,0.0,0.0,0.0,0.5941,0.0,0.0455,0.007,0.0355,0.0,0.0764,0.0134,0.0,0.165,0.0,0.0,0.0014,0.0011,0.0023,0.0016,0.0,0.005,0.0,0.0,0.0,0.0016,0.0021,0.0,0.0,0.0377,0.0043,0.0043,0.0,0.03,0.0,0.3054,0.0105,0.0072,0.0232,0.0,0.0,0.0023,0.1236,0.0,0.0,0.0,0.0037,0.0,0.0009,0.024,0.0249
C3L-00401,0.0002,0.0,0.0472,0.0,0.0127,0.0,0.0985,0.0403,0.0081,0.0224,0.0493,0.0084,0.0053,0.0009,0.0,0.0,0.0175,0.0159,0.0,0.0007,0.5007,0.0,0.0,0.0618,0.1336,0.0,0.1069,0.0004,0.0,0.563,0.0466,0.0005,0.0468,0.0053,0.0005,0.0069,0.0102,0.0,0.0255,0.0,0.0,0.0106,0.0053,0.0064,0.0,0.0,0.0232,0.0,0.0,0.0342,0.0,0.2033,0.0,0.0,0.0942,0.0139,0.1106,0.1138,0.1212,0.0,0.0,0.0,0.0185,0.0,0.1218,0.0001,0.1219
C3L-00589,0.0021,0.0,0.0,0.0164,0.0,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,0.0,0.0,0.0,0.0031,0.0,0.0,0.6567,0.0,0.0,0.0307,0.1744,0.0,0.1237,0.0183,0.0,0.6349,0.0214,0.0,0.019,0.0,0.002,0.0031,0.0,0.0,0.0132,0.0,0.0,0.0107,0.0033,0.0,0.0,0.0,0.0007,0.0,0.0,0.0481,0.0,0.1433,0.0,0.0038,0.0151,0.0,0.0421,0.01,0.111,0.0,0.0,0.0,0.0,0.0,0.0251,0.001,0.0262
C3L-00598,0.0015,0.0573,0.0234,0.0,0.0001,0.0068,0.0176,0.0063,0.0094,0.0055,0.0014,0.0,0.0072,0.0124,0.0,0.0063,0.0218,0.0231,0.0,0.0,0.6704,0.0001,0.0,0.0088,0.0523,0.0,0.1746,0.0041,0.0,0.3546,0.0122,0.0,0.0015,0.0015,0.001,0.002,0.0,0.0,0.0059,0.0028,0.0,0.0113,0.0003,0.0,0.0,0.0634,0.0064,0.0,0.0,0.0564,0.0,0.2752,0.0106,0.0019,0.0689,0.0181,0.0528,0.0192,0.3285,0.0,0.0,0.0024,0.0006,0.0031,0.0478,0.0008,0.0486
C3L-00599,0.0,0.0,0.0,0.0,0.0,0.0091,0.0202,0.0061,0.0018,0.0216,0.0107,0.0,0.0067,0.0094,0.0,0.0145,0.0021,0.0099,0.0,0.0,0.6064,0.0,0.0575,0.0507,0.2102,0.0,0.0775,0.0212,0.0,0.568,0.0,0.0,0.0,0.0031,0.002,0.0079,0.0031,0.0,0.0,0.0,0.0,0.0257,0.0045,0.0,0.0,0.0807,0.0073,0.0,0.0,0.0578,0.0,0.1181,0.0064,0.0,0.0138,0.036,0.0669,0.078,0.1162,0.0,0.0,0.0,0.0,0.0,0.0231,0.0288,0.0518
C3L-00622,0.0,0.0,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0,0.0,0.0024,0.0055,0.0,0.0,0.0023,0.0001,0.0,0.0027,0.5888,0.0,0.0,0.0205,0.1257,0.0,0.1104,0.0,0.0,0.7772,0.0222,0.0012,0.0246,0.0,0.0007,0.0044,0.0,0.0,0.0042,0.0,0.0,0.0054,0.0055,0.0006,0.0,0.038,0.007,0.0,0.0,0.0434,0.0,0.1406,0.0009,0.0069,0.0128,0.0048,0.0,0.0378,0.3154,0.0,0.0,0.0,0.0,0.0,0.0199,0.0,0.0199
C3L-00625,0.0044,0.0099,0.0,0.0,0.0,0.0078,0.0178,0.0,0.001,0.0056,0.0,0.0,0.0008,0.0092,0.0,0.0799,0.0,0.0133,0.0015,0.0,0.6358,0.0,0.1599,0.027,0.0859,0.0,0.0723,0.0386,0.0,0.3206,0.011,0.0,0.0045,0.0071,0.001,0.0022,0.0,0.0255,0.0011,0.0,0.0,0.0066,0.0037,0.0,0.0,0.2068,0.0,0.0,0.0,0.025,0.0,0.2034,0.0,0.0235,0.0186,0.0,0.0112,0.0015,0.2839,0.0,0.0,0.0,0.0,0.0,0.0254,0.0829,0.1083
