ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0016064,immunoglobulin mediated immune response,190,0.453334736,2.173701095,3.14E-10,6.32E-07,NA,2911,"tags=35%, list=8%, signal=33%",BCL6/PCYT1A/RNF168/TFRC/C17orf99/FOXJ1/IGHG1/IGHG3/IGHA2/PMS2/IGHD/IGHV1-3/IGHV6-1/IGHA1/BATF/IGHV1-18/IGHV1-24/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-16/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-64D/IGHV3-7/IGHE/IGHG2/IGHG4/IGHV1-45/IGHV2-26/IGHV3-30/IGHV3-33/IGHV3-35/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-49/IGHV4-28/IGHV4-34/IGHV4-39/IGHV5-51/IGHV8-51-1/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-70D/IGHV3-66/IGHV1-58/IGHV3-53/IGHV3-64/IGHV4-59/IGHV4-61/IGHV4-4/IGHV7-4-1/IGHV2-5/IGHV2-70/IGHV3-72/IGHV3-73/IGHV3-74/IGHV7-81/AICDA/C1R/C1RL/C1S/CD27/PTPN6
GO:0019724,B cell mediated immunity,193,0.447268991,2.138688761,2.47E-10,6.32E-07,NA,2911,"tags=35%, list=8%, signal=32%",BCL6/PCYT1A/RNF168/TFRC/C17orf99/FOXJ1/IGHG1/IGHG3/IGHA2/PMS2/IGHD/IGHV1-3/IGHV6-1/IGHA1/BATF/IGHV1-18/IGHV1-24/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-16/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-64D/IGHV3-7/IGHE/IGHG2/IGHG4/IGHV1-45/IGHV2-26/IGHV3-30/IGHV3-33/IGHV3-35/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-49/IGHV4-28/IGHV4-34/IGHV4-39/IGHV5-51/IGHV8-51-1/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-70D/IGHV3-66/IGHV1-58/IGHV3-53/IGHV3-64/IGHV4-59/IGHV4-61/IGHV4-4/IGHV7-4-1/IGHV2-5/IGHV2-70/IGHV3-72/IGHV3-73/IGHV3-74/IGHV7-81/AICDA/C1R/C1RL/C1S/CD27/PTPN6
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,422,-0.354744009,-1.902805927,1.00E-10,6.32E-07,NA,9186,"tags=34%, list=25%, signal=26%",OR10P1/OR6K3/OR10Z1/OR2V1/OR2V2/OR2Y1/OR4F3/OR10D3/OR10G4/OR10G6/OR10G7/OR10G8/OR10G9/OR10S1/OR4D5/OR6M1/OR6T1/OR6X1/OR8A1/OR8B12/OR8B2/OR8B3/OR8B4/OR8B8/OR8D1/OR8D2/OR8D4/OR8G1/OR8G2P/OR8G3/OR8G5/OR10X1/OR6P1/OR1A1/OR1A2/OR1D2/OR1D4/OR1D5/OR1E1/OR1E2/OR1E3/OR1G1/OR1P1/OR3A1/OR3A2/OR3A3/OR6K2/OR13J1/OR14C36/OR2G6/OR2M7/OR2T1/OR2T12/OR2T2/OR2T3/OR2T4/OR2T6/OR2T7/OR1M1/OR7D2/OR7D4/OR7E24/OR7G1/OR7G2/OR7G3/OR10K1/OR10K2/OR10R2/OR10T2/OR10J1/OR10J4/OR10J5/OR10J6P/OR6K6/OR6N1/OR6N2/OR2Z1/OR4F17/OR6Y1/OR13C2/OR13C3/OR13C4/OR13C5/OR13C8/OR13C9/OR13D1/OR13F1/OR1B1/OR1J1/OR1J2/OR1J4/OR1L1/OR1L3/OR1L4/OR1L6/OR1L8/OR1N1/OR1N2/OR1Q1/OR4F16/OR4F29/OR4F5/OR2K2/OR2T29/OR1F1/OR1F2P/OR2C1/OR5C1/OR1K1/OR11L1/OR14A16/OR14K1/OR1C1/OR2AJ1/OR2AK2/OR2L8/OR2T8/OR2W3/OR9H1/OR13C6P/OR13C7/OR2S2/OR14A2/OR6F1/OR2L13/OR2L2/OR2L3/OR2L5/OR2M2/OR2M3/OR2M4/OR2M5/OR2T33/OR13G1/OR14L1/OR2B11/OR2C3/OR2G2/OR2G3/OR14I1/OR2T10/OR2T11/OR2T27/OR2T34/OR2T35
GO:0007608,sensory perception of smell,454,-0.340309608,-1.824224002,3.97E-10,6.32E-07,NA,9186,"tags=33%, list=25%, signal=25%",OR10P1/OR6K3/OR10Z1/OR2V1/OR2V2/OR2Y1/OR4F3/OR10D3/OR10G4/OR10G6/OR10G7/OR10G8/OR10G9/OR10S1/OR4D5/OR6M1/OR6T1/OR6X1/OR8A1/OR8B12/OR8B2/OR8B3/OR8B4/OR8B8/OR8D1/OR8D2/OR8D4/OR8G1/OR8G2P/OR8G3/OR8G5/DRD2/OR10X1/OR6P1/OR1A1/OR1A2/OR1D2/OR1D4/OR1D5/OR1E1/OR1E2/OR1E3/OR1G1/OR1P1/OR3A1/OR3A2/OR3A3/OR6K2/GJB4/OR13J1/OR14C36/OR2G6/OR2M7/OR2T1/OR2T12/OR2T2/OR2T3/OR2T4/OR2T6/OR2T7/OR1M1/OR7D2/OR7D4/OR7E24/OR7G1/OR7G2/OR7G3/OR10K1/OR10K2/OR10R2/OR10T2/OR10J1/OR10J4/OR10J5/OR10J6P/OR6K6/OR6N1/OR6N2/NXNL2/OR2Z1/OR4F17/OBP2A/PDE4A/OR6Y1/OR13C2/OR13C3/OR13C4/OR13C5/OR13C8/OR13C9/OR13D1/OR13F1/OR1B1/OR1J1/OR1J2/OR1J4/OR1L1/OR1L3/OR1L4/OR1L6/OR1L8/OR1N1/OR1N2/OR1Q1/OR4F16/OR4F29/OR4F5/OR2K2/OBP2B/OR2T29/OMP/OR1F1/OR1F2P/OR2C1/OR5C1/OR1K1/OR11L1/OR14A16/OR14K1/OR1C1/OR2AJ1/OR2AK2/OR2L8/OR2T8/OR2W3/OR9H1/OR13C6P/OR13C7/OR2S2/OR14A2/OR6F1/OR2L13/OR2L2/OR2L3/OR2L5/OR2M2/OR2M3/OR2M4/OR2M5/OR2T33/OR13G1/OR14L1/OR2B11/OR2C3/OR2G2/OR2G3/OR14I1/OR2T10/OR2T11/OR2T27/OR2T34/OR2T35
GO:0031424,keratinization,82,-0.552654399,-2.398806999,2.61E-09,3.32E-06,NA,4530,"tags=43%, list=12%, signal=37%",IVL/LCE1A/LCE1B/LCE1C/LCE1D/LCE1E/LCE1F/LCE6A/LCE7A/LORICRIN/SPRR1A/SPRR1B/SPRR2B/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/SPRR4/LCE2A/LCE2B/LCE2C/LCE2D/LCE3A/LCE3B/LCE3C/LCE3D/LCE3E/LCE4A/LCE5A/HRNR/KAZN/PPL/TMEM79/TCHH
GO:0002449,lymphocyte mediated immunity,371,0.349370695,1.786566813,3.27E-08,3.46E-05,NA,4188,"tags=27%, list=11%, signal=25%",BCL6/PCYT1A/RNF168/TFRC/CD7/SECTM1/C17orf99/FOXJ1/GRB2/UNC13D/GZMB/IGHG1/IGHG3/IGHA2/IL12A/PMS2/IGHD/AHR/IGHV1-3/IGHV6-1/IGHA1/BATF/IGHV1-18/IGHV1-24/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-16/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-64D/IGHV3-7/IGHE/IGHG2/IGHG4/CD80/IGHV1-45/IGHV2-26/IGHV3-30/IGHV3-33/IGHV3-35/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-49/IGHV4-28/IGHV4-34/IGHV4-39/IGHV5-51/IGHV8-51-1/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-70D/IGHV3-66/IGHV1-58/IGHV3-53/IGHV3-64/IGHV4-59/IGHV4-61/IGHV4-4/IGHV7-4-1/IGHV2-5/RSAD2/IGHV2-70/IGHV3-72/IGHV3-73/IGHV3-74/IGHV7-81/FADD/CLEC12B/CLEC2A/KLRC1/KLRC2/KLRC3/KLRC4/KLRD1/KLRF2/KLRK1/AICDA/IL6/TIGIT/CYRIB/C1R/C1RL/C1S/CD27/LAG3/PTPN6/USP5/JAG1/CD96/CLNK/HMCES/MYO1G/HLA-A/HLA-F/HLA-G/HLA-H/KLRB1/SHLD1
GO:0050907,detection of chemical stimulus involved in sensory perception,467,-0.312341322,-1.684469521,4.54E-08,4.13E-05,NA,9186,"tags=34%, list=25%, signal=26%",OR10P1/OR6K3/OR10Z1/OR2V1/OR2V2/OR2Y1/OR4F3/OR10D3/OR10G4/OR10G6/OR10G7/OR10G8/OR10G9/OR10S1/OR4D5/OR6M1/OR6T1/OR6X1/OR8A1/OR8B12/OR8B2/OR8B3/OR8B4/OR8B8/OR8D1/OR8D2/OR8D4/OR8G1/OR8G2P/OR8G3/OR8G5/OR10X1/OR6P1/RTP3/OR1A1/OR1A2/OR1D2/OR1D4/OR1D5/OR1E1/OR1E2/OR1E3/OR1G1/OR1P1/OR3A1/OR3A2/OR3A3/TRPV1/OR6K2/PLCB2/ASIC3/TAS1R2/OR13J1/OR14C36/OR2G6/OR2M7/OR2T1/OR2T12/OR2T2/OR2T3/OR2T4/OR2T6/OR2T7/FFAR4/OR1M1/OR7D2/OR7D4/OR7E24/OR7G1/OR7G2/OR7G3/OR10K1/OR10K2/OR10R2/OR10T2/OR10J1/OR10J4/OR10J5/OR10J6P/OR6K6/OR6N1/OR6N2/GNAT1/PKD2L1/OR2Z1/OR4F17/OR6Y1/OR13C2/OR13C3/OR13C4/OR13C5/OR13C8/OR13C9/OR13D1/OR13F1/OR1B1/OR1J1/OR1J2/OR1J4/OR1L1/OR1L3/OR1L4/OR1L6/OR1L8/OR1N1/OR1N2/OR1Q1/OR4F16/OR4F29/OR4F5/OR2K2/OR2T29/OR1F1/OR1F2P/OR2C1/PIGR/TAS1R3/TAS1R1/OR5C1/OR1K1/OR11L1/OR14A16/OR14K1/OR1C1/OR2AJ1/OR2AK2/OR2L8/OR2T8/OR2W3/OR9H1/OR13C6P/OR13C7/OR2S2/CA6/OR14A2/OR6F1/OR2L13/OR2L2/OR2L3/OR2L5/OR2M2/OR2M3/OR2M4/OR2M5/OR2T33/OR13G1/OR14L1/OR2B11/OR2C3/OR2G2/OR2G3/OR14I1/OR2T10/OR2T11/OR2T27/OR2T34/OR2T35
GO:0030216,keratinocyte differentiation,180,-0.404967642,-1.997201178,9.88E-08,7.86E-05,NA,4530,"tags=32%, list=12%, signal=28%",IVL/LCE1A/LCE1B/LCE1C/LCE1D/LCE1E/LCE1F/LCE6A/LCE7A/LORICRIN/SPRR1A/SPRR1B/SPRR2B/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/SPRR4/SPRR5/POU2F3/DNASE1L2/EXTL3/AKR1C3/FLG/LCE2A/LCE2B/LCE2C/LCE2D/LCE3A/LCE3B/LCE3C/LCE3D/LCE3E/LCE4A/LCE5A/ANXA1/UGCG/ROCK1/LATS2/YAP1/CYP27B1/S100A7/TXNIP/HRNR/IRF6/KAZN/PPL/IL20/EXPH5/AQP3/OPN3/PKP1/ERRFI1/PIP5K1A/EPHA2/TMEM79/TCHH
GO:0048704,embryonic skeletal system morphogenesis,94,0.486201957,2.06539318,3.74E-07,0.000264364,NA,6259,"tags=43%, list=17%, signal=35%",NOG/DLG1/EIF4A3/SHOX2/GSC/TWIST1/HOXA1/HOXA11/HOXA2/HOXA3/HOXA4/HOXA5/HOXA7/HOXA9/BMP4/MYCN/OSR1/SOX11/WNT9B/SIX1/SIX4/GLI3/TFAP2A/MMP14/MMP16/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/EYA1/RDH10/GRHL2/TULP3/OSR2/BMP7
GO:0001580,detection of chemical stimulus involved in sensory perception of bitter taste,36,0.653641329,2.341658649,5.36E-07,0.000341299,NA,2831,"tags=44%, list=8%, signal=41%",RTP1/RTP2/RTP4/LPO/TAS2R30/TAS2R31/TAS2R43/TAS2R46/TAS2R10/TAS2R13/TAS2R14/TAS2R7/TAS2R8/TAS2R9/TAS2R20/TAS2R50
