"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04080","Neuroactive ligand-receptor interaction","370/8780","371/9422",0.997304582210243,1.07022822022607,5.10362293619782,7.22347229629353e-11,1.20195533592556e-08,NA,"6750/3827/257313/2837/2642/256933/6752/79957/339403/1141/8811/5646/2905/10911/1511/1325/183/7253/134/553/3814/3352/623/624/1131/1395/2692/727/64111/4852/5028/53829/9934/286530/165829/4159/719/117/387129/6751/347148/2563/2147/2904/2892/1442/1443/1444/2688/2689/1814/3375/80763/185/5729/5732/2492/1902/122042/7200/1394/1269/1908/3355/1816/114131/122876/1392/2550/1906/5173/5539/5697/146/551/2797/5020/255061/51083/5032/9294/283869/2925/2695/8698/90226/6755/6915/23620/2902/1132/1137/11255/2832/4923/11054/4987/4986/7201/5745/5179/1903/3362/9568/153/2834/1241/56413/3061/2912/2893/6869/5340/1145/5023/718/3060/1135/66004/57152/432355/23566/116443/5368/5617/8973/1142/5025/5027/2897/5618/6753/5030/116444/2569/2570/2742/344838/8484/2693/5026/7442/152/6865/1813/10161/2555/2557/2560/2565/6870/1081/1268/148/2796/8620/7349/79924/2690/5734/160065/399967/100169851/399968/84634/53637/5443/55584/10888/4544/4543/2898/84539/2915/6013/6019/10874/4985/9170/7067/8001/135/2740/2917/594857/5724/2922/4160/4922/10424/1909/100506013/4886/4889/3640/151/117579/2743/2891/4887/59350/5731/3953/5367/222642/1134/27346/886/84109/200959/51052/1901/9127/3356/2895/57105/2862/3001/5739/2900/100996758/799/7432/2903/2906/3972/728/5540/5737/4142/186/3358/9340/51738/64106/3973/4295/113091/1140/56923/554/2556/2564/55879/9248/140/6754/2914/6866/8862/1907/2554/2559/2561/2566/2913/2899/2911/2890/1815/6343/130574/130576/2916/129521/2488/2908/4829/10800/2846/27334/4988/10857/3269/3361/3357/10316/3062/2357/2358/2359/2691/2798/706/2558/2562/2567/4157/3952/5644/5645/680/9002/3351/1129/1133/1144/1146/3354/187/5024/4161/57053/85569/887/2918/7425/6863/22953/5029/5031/4158/51289/2859/10203/2847/59340/2641/7252/7068/154/3360/2696/3350/147/796/797/5741/2587/2149/2150/2151/10022/1910/2894/1136/1138/1143/116/2741/3363/5746/2901/552/170589/89832/1812/3274/1128/136/10886/6344/1139/150/134864/9287/9038/319100/2568/885/7433/79627/133/155/5021/4828/83551/134860/5733/7434",370
"hsa05206","MicroRNAs in cancer","323/8780","323/9422",1,1.07312072892938,4.94507846003492,8.33637095266838e-11,1.20195533592556e-08,NA,"8626/407020/5290/406969/406997/4170/1942/125467750/1944/1945/2885/6464/57521/2475/5293/3551/406949/406951/407046/89780/407025/407026/4194/442891/85414/6624/407040/5154/63923/23405/8434/5743/5578/406983/406984/1387/7042/406988/406954/406956/406883/406884/27086/406978/406986/100616173/595/442909/442910/472/406905/406922/406991/407016/387/25/672/406933/406985/1027/574452/894/5962/6093/693210/7473/23411/407041/407042/9134/1870/407036/406908/7143/9252/407054/406889/100500809/7976/10014/994/406896/100302282/1029/3690/599/4325/406902/1786/406943/5579/8651/1871/110117499/8503/7329/5595/10642/1545/6541/993/2065/27165/407006/407007/406913/693187/4851/574447/406904/406909/406923/406977/406996/3190/407043/11186/4363/407011/407019/406881/406886/406888/7431/23414/6935/1956/3371/3065/9493/5328/131405/648/100532731/574455/4609/6659/10297/406915/1943/406925/406890/5728/2146/5605/407045/1398/5156/54541/6654/90427/406901/27250/4790/3678/693200/3162/659/554213/693123/100313923/4893/1788/3925/6774/10298/995/3066/4082/6768/407030/407033/1591/406928/406894/1026/5292/406976/406959/407021/407024/442904/407053/406935/406937/406906/100616357/596/5268/406926/5159/406947/407008/406918/7430/5581/7078/406957/574457/407010/407018/442890/406989/5296/1021/574467/574473/574476/574461/898/3236/406903/406893/406900/407014/442903/407035/2261/1399/3845/406948/406950/7157/619552/5291/4855/2033/578/406942/406971/442898/407009/7168/10018/4318/406907/3667/407031/407034/399694/8091/3265/406992/9839/407017/494324/7148/900/406895/100302238/836/5894/5335/406910/407056/406887/324/960/574411/406917/406899/574033/406981/574032/574031/407049/4854/406995/406955/442918/574484/574493/5582/5155/4233/442900/406916/406938/9759/5243/100423003/494335/407047/406952/406953/406979/406980/406982/407048/442902/407015/2744/5598/4193/5336/1869/100616238/407044/406891/1946/113130/406967/406970/6655/5295/1789/407051/7422/8660/407029/407032/10253/406892/406911/406882/7057/2064/5604/4853/5594/406912/407055/406885",323
"hsa04519","Cadherin signaling","402/8780","404/9422",0.995049504950495,1.0678082500733,5.15164999912811,1.10196927254636e-10,1.20195533592556e-08,NA,"1857/71/5881/11322/147138/51107/5664/55740/124590/3551/5317/89780/7483/10092/60/5879/1855/87/473/8313/1387/4647/2932/7477/81873/79905/51466/1002/387/2563/10413/1822/4040/25937/26524/7409/6093/6327/6330/7473/7484/998/54361/117531/5318/9620/23385/57216/81029/4542/1015/8777/23002/64005/2535/117532/7976/84962/64403/6259/4041/7410/51421/122011/10186/5595/9344/4640/5499/1951/7534/5663/7004/4007/1147/7479/259236/10971/7431/1956/6788/27328/7414/79838/2185/5500/8323/6934/55233/10297/8312/1496/5880/5605/4641/7531/22881/2569/2570/653857/3791/5156/55914/60437/25984/390792/125115/10152/8036/64072/2555/2557/2560/2565/192666/4790/3071/51347/55800/8324/5600/6300/8325/2324/5601/3858/3859/54474/342574/162605/4893/8994/29119/10097/147183/353288/9475/5099/64398/8936/81/120114/1495/7478/3728/5097/51294/56147/56139/56138/56137/56136/56146/56145/56144/56143/56142/56141/56140/9752/56135/56134/29930/56126/56125/56124/56123/56122/56121/57717/56133/56132/56131/26167/56130/56129/56128/56127/56114/56106/56105/26025/56113/56112/56111/56110/56109/56108/9708/56107/56104/56103/56102/8641/56101/56100/56099/5098/56098/56097/92597/6324/8322/7471/7480/83439/11211/2195/154810/340596/2697/3868/3872/23500/51474/1452/999/1001/79633/126374/3861/3857/1014/5159/222662/5603/1432/7005/1012/3860/3866/3880/3886/8689/3875/3850/3851/196374/338785/3856/5100/166336/10094/5501/283446/28316/55851/10552/10095/54798/51176/57526/200959/5599/3882/8688/8687/3845/10093/375323/3881/3883/3884/3885/22808/10096/2909/5602/1000/2033/6237/8463/1952/1856/2556/2564/55879/83464/1501/147798/5606/64405/4792/55845/54510/9113/2554/2559/2561/2566/5747/57575/3265/11187/10451/10109/1674/80326/7475/1003/23286/1013/7529/5894/7476/7482/28513/57180/324/1005/57551/2558/2562/2567/1004/3848/3849/3852/3853/3854/286887/3855/112802/140807/319101/121391/9119/51350/374454/144501/3887/3888/3889/3890/3891/3892/65217/102/1500/3480/144165/1832/4233/7481/8642/375612/4642/4301/8321/1009/10787/51384/1829/1830/81839/8517/342125/1006/23191/7408/2260/7003/22800/10184/1824/1825/6331/1823/1828/147409/4430/7472/2196/7532/10518/10083/7082/8326/7533/7855/29964/7474/27253/5101/64881/4771/60485/4643/6932/1008/342184/1007/2568/26999/1499/5970/1010/2064/84152/1016/5604/5594",402
"hsa04151","PI3K-Akt signaling pathway","361/8780","362/9422",0.997237569060773,1.07015630702627,5.03367477341081,1.36585833627904e-10,1.20195533592556e-08,NA,"59345/5290/117145/2786/842/148327/200186/3570/1969/4170/1942/7059/125467750/1944/1945/2885/3691/57521/2475/5293/3551/4914/10000/3915/3918/5525/5879/8115/9623/5154/63923/3696/9586/5578/3563/28227/2932/3914/207/29941/3320/5527/595/9965/2248/2249/8515/7450/4908/208/3693/6198/1019/3913/3569/10319/672/5170/2784/57121/7248/1027/1442/1443/1444/2688/2689/2998/2254/54331/894/8074/2251/5516/2790/1902/5519/2538/9134/2782/7143/3643/1291/1292/51378/256076/131873/1101/92579/3674/1277/3675/2793/4804/3690/7010/11140/5529/5522/64223/7249/110117499/8503/5595/2277/6199/5228/3574/7534/6256/930/3679/2065/51764/90993/1147/2253/1299/3911/356/4915/10971/8516/1017/1956/3371/80310/284/3559/6850/5106/5105/5623/10488/2321/2322/118788/2787/23566/4609/3566/7039/5617/2788/1298/2668/9180/3561/1943/6794/4846/6009/5618/5728/3454/3455/84699/5605/3575/7531/3791/3815/5156/54541/3560/9048/6654/1441/7099/10161/4790/5520/3678/1280/2255/2324/2690/5562/4893/4902/27006/8822/7184/2309/3910/26281/285/3717/4254/1026/5649/2057/23035/9170/1287/7097/596/1436/5159/2247/3558/1975/3695/3912/22798/3718/2792/5008/56034/5296/3446/3448/3449/3451/3452/3441/3444/3456/5585/1311/1288/1021/8817/898/2263/1386/64764/3442/3716/7448/10110/5586/100533105/23678/9223/1950/5518/3655/2261/3439/3447/3440/3443/3445/1435/2252/284217/1977/1293/1278/2791/3845/23239/7157/3481/3630/5291/94235/26291/2997/4909/3381/6696/23533/146850/9863/55970/2323/10018/3326/1388/3672/3673/1285/1286/3667/4602/6446/5747/3479/3265/253314/2264/5523/7148/7060/2846/7529/5894/7424/10681/3909/7058/3688/8823/3164/1129/2250/9470/2246/5155/3480/22801/4233/55012/5563/5934/5294/3685/6194/5521/4803/8517/4515/2260/2056/2783/2149/3680/7532/4193/374/2069/627/3908/1282/1284/7533/1385/896/598/1946/5526/572/7423/2066/5979/6655/1128/2785/3562/3565/5515/5295/3676/1297/7422/2335/3082/1978/55844/5970/468/5528/57818/7057/2064/5604/3694/5594/1440",361
"hsa04010","MAPK signaling pathway","301/8780","301/9422",1,1.07312072892938,4.76793995970061,4.16066978799206e-10,2.92911153074641e-08,NA,"3556/9175/5062/5881/1969/1942/125467750/1944/1945/2885/2768/3551/779/4914/10000/2005/9261/5778/5879/5154/2122/5608/4293/7043/775/786/27092/27091/5578/2353/7042/207/84451/11221/9965/2248/2249/4908/208/4294/5058/777/4137/1649/1326/5321/80824/7132/4215/2254/8074/2251/4149/998/3310/8682/5494/5609/93589/5568/9020/3643/51378/8913/9252/6197/1845/994/4804/7010/10368/5579/23162/5595/9344/2277/5228/8569/2065/369/778/2002/7186/1147/2253/4791/356/4915/7046/774/783/1956/9254/7867/10912/80310/6788/284/8912/5623/5532/5534/2321/2322/409/4609/1846/7039/5567/4616/2872/8681/100137049/2668/1943/9479/1849/5880/5605/5533/1398/3791/3815/5156/283748/123745/255189/10369/9048/8491/6654/355/1847/4790/7786/3312/51347/2255/5600/6300/23542/2324/5601/4893/4902/27006/3925/5535/8822/115727/11184/929/26281/285/1848/4254/784/4772/773/4775/8717/1436/5159/5603/1432/2247/776/51295/10125/1844/5566/56034/3727/8817/2263/1386/51776/673/51701/8550/84867/51135/1950/2261/1435/2252/8649/5530/5599/1399/3845/7157/1850/3481/3630/22808/5536/26291/4909/8605/5602/3552/3553/25780/6885/1616/5906/1647/55970/9693/5922/2323/6237/6789/1852/3654/7189/27330/5606/3303/3304/3305/23118/10746/4217/3479/3265/2264/5924/3554/9448/836/5894/7424/6416/7124/6195/57551/8823/3164/2250/2246/59285/59284/59283/5582/5155/10454/4216/3480/4233/408/785/4214/4208/3725/4803/2316/8517/5921/2260/6196/9064/22800/4615/10235/4763/3315/5598/5908/7048/5871/374/2069/627/5801/1946/8986/7423/2066/5979/1843/6655/55799/7422/5923/781/3082/6722/4296/5970/468/5971/2064/5604/5495/782/7040/5607/8911/5594",301
"hsa05165","Human papillomavirus infection","332/8780","333/9422",0.996996996996997,1.06989814415783,4.80239585992413,1.05462270495926e-09,6.1871198690943e-08,NA,"3280/5290/1857/1739/5986/148327/54626/390992/7059/127124/2885/3691/3993/9368/2475/5293/3955/3551/89780/7483/10000/3915/3918/5525/9641/63923/4799/3696/1855/5743/23352/9586/8313/57801/9636/28227/1387/2932/3914/7477/207/5527/7187/595/472/8515/7450/208/3693/8772/6198/1019/3913/5584/10319/527/1108/7248/1027/523/182/7283/27175/5590/7132/894/5516/7473/7484/998/54361/5519/9550/81029/9134/5568/2535/7143/1291/1292/3105/3134/3135/256076/131873/1101/5700/388585/7976/3674/1277/3675/23462/3690/2308/245972/2778/10312/7297/4599/4600/5529/5522/7249/8900/122011/110117499/8503/5595/6199/5663/3679/6773/387332/4851/90993/1147/7479/1299/3911/356/3133/245973/8516/1017/1956/3371/10379/3065/10488/23545/92359/155066/528/8323/6934/525/5829/5567/10297/1298/8312/8638/6009/4242/10207/5728/3454/3455/1741/84699/5605/533/6654/148022/355/5925/4790/5520/3678/1280/841/8324/8325/526/5734/4893/51606/51382/64398/535/3066/3910/7478/7098/5610/1026/84552/1740/8322/7471/7480/83439/26508/11211/84441/5649/1452/1287/9114/50855/8717/23513/5159/9296/890/55534/3695/90423/3912/22798/5566/5296/3446/3448/3449/3451/3452/3441/3444/3456/1311/529/1288/1021/898/50617/64764/3442/3716/7448/3516/9223/1950/5518/3655/55502/3439/3447/3440/3443/3445/284217/1293/5315/1278/3845/7157/10474/5933/5291/84667/4855/581/3381/6696/2033/3106/3107/11317/578/3661/1856/10134/7337/7015/3672/3673/1285/1286/9519/5747/3265/9794/5523/80326/7475/7148/7060/836/5894/7476/7482/3909/324/84612/7058/56288/534/7124/3688/6908/4854/22801/55012/7481/5934/8321/29110/51384/3685/5521/537/8517/3680/6772/7472/23493/4193/3908/1869/8326/1282/1284/1385/7855/896/5526/545/572/7474/8992/6655/3659/5515/6932/5295/3676/3996/1297/7422/2335/1978/55844/1499/5970/5528/7057/5604/4853/3694/5594",332
"hsa04517","IgSF CAM signaling","299/8780","300/9422",0.996666666666667,1.06954365983295,4.5269050092439,1.06116138558236e-08,5.3361258246427e-07,NA,"3556/5290/5062/71/7827/10458/140735/57513/2885/5293/5362/10000/10092/6900/23114/8497/23380/60/5879/22871/22865/87/5578/51678/942/941/2932/81873/207/6709/57731/55243/3736/3742/145581/208/4638/117157/5058/8500/387/5584/25/201633/5170/5777/3384/57144/8506/22829/7409/25945/5962/120425/10225/998/51744/962/8832/50848/4063/4359/81607/6504/114836/57823/30835/10332/8777/23085/5361/9414/5588/79861/3689/4356/3690/5375/81027/2308/253559/3383/3385/5579/150084/7410/8573/9353/57524/110117499/8503/5595/3683/11141/4637/140465/10383/81928/3785/4067/4629/203068/57863/6092/1630/347688/3932/3684/3687/287/7414/10382/80059/117178/6585/10580/5829/51332/54413/6091/7225/8655/5605/7278/56924/653857/3791/3786/4627/139065/84631/78999/6712/4684/8829/219699/5802/23705/3678/79827/56253/57502/8499/1796/26047/90952/64221/54538/5600/6300/5601/137970/9046/10097/10298/5792/2534/9788/81/4690/84552/4099/5781/7846/10376/84790/92154/999/50855/351/58494/5789/4478/5603/1432/9564/7430/23607/91807/5296/26280/10094/340156/5818/7280/347733/84063/4868/10552/10095/57689/2243/2244/2266/9223/5599/8633/10093/5291/10096/4628/9423/2036/5602/1000/1445/10398/5906/9863/79784/288/9693/8541/8440/57555/3897/3737/84623/7189/51807/5747/10451/90249/10109/7277/80086/91584/3937/6586/342035/80852/5335/57180/84612/4897/56288/3688/28964/23426/5063/10381/6711/94030/6334/3739/23136/3635/5582/10627/103910/26050/9901/4301/57522/5803/8976/914/8826/55558/114798/84189/91768/7204/4685/5921/2260/1525/4068/4916/83700/5908/5336/2037/7082/84617/5376/8828/85366/113457/112714/5817/382/51735/5295/10666/3676/6714/1272/199731/22999/260334/1499/5819/5604/4133/4008/940/4155/5594",299
"hsa05132","Salmonella infection","249/8780","249/9422",1,1.07312072892938,4.32426932334505,1.83021289919147e-08,8.05293675644248e-07,NA,"5290/6281/71/9267/64746/11258/140735/5788/23265/114548/5293/26084/3551/3840/375/10000/10092/7100/127829/5287/338382/60/9265/5879/5608/10392/54205/5217/2353/23207/55823/81873/3836/113146/207/1778/3320/3831/388/208/8772/9844/27072/5058/4074/10540/3798/387/3569/5898/329/330/2597/7132/7295/998/3606/5609/57381/7879/58498/9842/79861/64601/81027/8767/5595/29895/29108/55860/23643/257397/10640/7186/10383/10121/1147/3799/203068/5869/840/347688/11035/84516/5289/5288/10810/5216/5878/10382/4609/6934/1639/79659/51143/834/837/838/8655/65082/54106/27128/5605/83547/6990/7278/653857/9367/23339/25828/8743/8797/8795/7099/57617/4790/3071/841/5600/6300/4636/5601/114609/10097/9475/7184/79443/929/55770/10671/7846/10376/84790/83439/375189/1785/8677/79792/29109/8717/7097/596/1783/51164/5603/1432/6993/197259/10120/51209/5585/10094/4633/4646/8737/7280/347733/51429/4671/10552/10095/83657/51135/51176/83658/5599/55207/3839/10093/5291/10096/581/9266/5602/3553/6885/10398/63916/578/6237/9648/10006/3654/7189/3326/5606/4792/55845/112574/23118/51807/3265/10333/3800/345456/10109/7277/80086/60412/5420/1780/1434/836/5894/57180/6416/7124/5063/10381/10454/10627/103910/391/6188/399/58484/1781/5294/51626/10787/8976/3725/5868/2316/8517/64837/23191/4615/5286/3576/84617/26263/257364/113457/112714/382/79026/6500/6932/147700/260334/26999/1499/93408/5970/89953/5604/302/5594",249
"hsa04820","Cytoskeleton in muscle cells","233/8780","233/9422",1,1.07312072892938,4.17938705024646,5.83715034692438e-08,2.2829743579082e-06,NA,"71/7170/4000/29765/7059/3691/3930/88/4811/58/84033/1465/25802/4608/7135/7139/56776/60/2023/23353/161176/3696/375790/64423/6709/57731/6382/2192/8515/3693/1605/2026/4607/22795/84665/3339/85301/5318/477/480/84467/127294/23002/58498/752/1291/1292/256076/131873/22989/84675/6383/3674/1277/3675/6442/3690/4635/4624/4625/50509/29895/3679/1289/1299/4634/1756/481/6445/4629/832/7431/8516/4892/6641/58529/7094/7169/287/7414/6443/1837/7111/2027/10529/1730/26287/255631/72/84823/51332/1298/93661/7134/64236/825/23224/4627/8082/11155/6712/3678/57159/4636/270/9499/84676/137868/27295/3728/1729/91010/1466/6645/7171/4604/23500/1287/1634/5339/91977/2318/3695/8910/9672/1311/1288/7273/4633/272/200539/3655/51778/171024/57644/284217/1293/1278/10611/482/7136/7140/4621/56203/4628/1302/10398/6385/79784/288/2274/271/343263/633/7168/23345/7125/483/1301/3672/3673/1285/1286/9260/1674/2275/7060/70/6444/23439/2199/79188/829/9124/4626/29767/29766/7058/8735/3688/83660/6711/2273/4606/7791/8048/8736/9172/1832/22801/830/114793/2006/442721/1829/1281/1290/3685/81624/476/2010/89/4619/4620/4622/1824/3680/165904/1462/2200/25777/3908/27063/1282/1284/4632/118461/478/8572/3676/1297/2335/1158/6640/4703/7057/8557/2201/4001/7137/7138/129446/3694",233
"hsa04024","cAMP signaling pathway","226/8780","226/9422",1,1.07312072892938,4.11456091433026,9.68909840022381e-08,3.41056263687878e-06,NA,"6750/5290/6662/6752/5881/148327/4881/51/2905/5293/779/6262/10000/7253/134/493/3352/5879/4878/5337/1395/9586/775/4852/115/56670/2353/1387/64091/5465/207/3776/55811/208/111/5058/117/6751/2735/387/5139/2904/163688/2892/7409/5732/6093/2492/51196/477/480/1394/810/1908/3355/5568/107/816/2737/1816/51806/122876/1392/2550/1906/801/5020/54714/2778/5141/7410/110117499/8503/5595/2695/5499/487/114/6755/778/2902/90993/481/2771/3362/9568/5727/153/196883/27198/338442/8843/10488/817/818/2893/489/5338/805/116443/5500/5567/268/486/84876/8310/5880/7074/84699/5605/116444/2693/1813/4790/1081/10411/5601/610/109/5443/9475/64411/490/5348/112/4772/1259/5350/135/2740/815/776/1909/64399/4886/11149/64208/2867/4659/5566/2891/5143/5296/488/5501/11069/673/64764/6548/5599/482/5291/808/7432/2903/2906/3972/5602/10021/2033/108/10398/5906/491/51738/3973/6237/2773/492/1260/139760/4792/1907/483/1261/2890/10451/2488/23439/5894/814/3351/1129/5142/3354/1262/4158/4301/2641/3725/476/7252/5144/10846/154/3360/2696/3350/5140/22800/2149/1080/5908/116/627/1385/113/478/3991/1258/170589/572/1812/1128/5295/2770/5021/5970/10257/84152/5604/7137/5733/7434/91860/5594",226
