"feature","ensembl_id","SYMBOL","GENENAME","value","abs_weight"
"ENSG00000233565.1_CNV","ENSG00000233565",NA,NA,0.38522681593895,0.38522681593895
"ENSG00000073849.15_CNV","ENSG00000073849","ST6GAL1","ST6 beta-galactoside alpha-2,6-sialyltransferase 1",0.38522681593895,0.38522681593895
"ENSG00000227971.1_CNV","ENSG00000227971",NA,NA,0.385163992643356,0.385163992643356
"ENSG00000214147.2_CNV","ENSG00000214147","ENAHP1","ENAH pseudogene 1",0.385163992643356,0.385163992643356
"ENSG00000273370.1_CNV","ENSG00000273370",NA,NA,0.385163992643356,0.385163992643356
"ENSG00000232610.1_CNV","ENSG00000232610",NA,NA,0.385163992643356,0.385163992643356
"ENSG00000163347.6_CNV","ENSG00000163347","CLDN1","claudin 1",0.385163992643356,0.385163992643356
"ENSG00000113946.3_CNV","ENSG00000113946","CLDN16","claudin 16",0.385163992643356,0.385163992643356
"ENSG00000231047.1_CNV","ENSG00000231047","GCNT1P3","glucosaminyl (N-acetyl) transferase 1 pseudogene 3",0.385163992643356,0.385163992643356
"ENSG00000205835.9_CNV","ENSG00000205835","GMNC","geminin coiled-coil domain containing",0.385163992643356,0.385163992643356
"ENSG00000196083.10_CNV","ENSG00000196083","IL1RAP","interleukin 1 receptor accessory protein",0.385163992643356,0.385163992643356
"ENSG00000228730.2_CNV","ENSG00000228730","LINC02013","long intergenic non-protein coding RNA 2013",0.385163992643356,0.385163992643356
"ENSG00000216058.1","ENSG00000216058","MIR944","microRNA 944",0.385163992643356,0.385163992643356
"ENSG00000230077.1_CNV","ENSG00000230077","MTAPP2","methylthioadenosine phosphorylase pseudogene 2",0.385163992643356,0.385163992643356
"ENSG00000238077.1_CNV","ENSG00000238077",NA,NA,0.385163992643356,0.385163992643356
"ENSG00000090530.10_CNV","ENSG00000090530","P3H2","prolyl 3-hydroxylase 2",0.385163992643356,0.385163992643356
"ENSG00000225764.2_CNV","ENSG00000225764","P3H2-AS1","P3H2 antisense RNA 1",0.385163992643356,0.385163992643356
"ENSG00000223117.1_CNV","ENSG00000223117",NA,NA,0.385163992643356,0.385163992643356
"ENSG00000212489.1","ENSG00000212489","RNU6-1109P","RNA, U6 small nuclear 1109, pseudogene",0.385163992643356,0.385163992643356
"ENSG00000198398.2_CNV","ENSG00000198398","TMEM207","transmembrane protein 207",0.385163992643356,0.385163992643356
"ENSG00000073282.13_CNV","ENSG00000073282","TP63","tumor protein p63",0.385163992643356,0.385163992643356
"ENSG00000188001.10_CNV","ENSG00000188001","TPRG1","tumor protein p63 regulated 1",0.384895950555801,0.384895950555801
"ENSG00000234076.1_CNV","ENSG00000234076",NA,NA,0.384895950555801,0.384895950555801
"ENSG00000230115.1_CNV","ENSG00000230115","TPRG1-AS2","TPRG1 antisense RNA 2",0.384895950555801,0.384895950555801
"ENSG00000198491.3_CNV","ENSG00000198491","LOC101929106","uncharacterized LOC101929106",0.384895890951157,0.384895890951157
"ENSG00000283175.1_CNV","ENSG00000283175","LOC101929130","uncharacterized LOC101929130",0.384895890951157,0.384895890951157
"ENSG00000236182.1_CNV","ENSG00000236182",NA,NA,0.384895890951157,0.384895890951157
"ENSG00000234238.2_CNV","ENSG00000234238",NA,NA,0.384895890951157,0.384895890951157
"ENSG00000279891.1_CNV","ENSG00000279891","FLJ42393","uncharacterized LOC401105",0.384895890951157,0.384895890951157
"ENSG00000236864.1","ENSG00000236864",NA,NA,0.384895890951157,0.384895890951157
"ENSG00000239093.1_CNV","ENSG00000239093","LOC124905594","small nucleolar RNA U13",0.384895890951157,0.384895890951157
"ENSG00000280270.1_CNV","ENSG00000280270",NA,NA,0.384895890951157,0.384895890951157
"ENSG00000228804.5_CNV","ENSG00000228804",NA,NA,0.384895890951157,0.384895890951157
"ENSG00000285938.1_CNV","ENSG00000285938","BCL6-AS1","BCL6 antisense RNA 1",0.384895890951157,0.384895890951157
"ENSG00000225058.1_CNV","ENSG00000225058",NA,NA,0.384895890951157,0.384895890951157
"ENSG00000236412.1_CNV","ENSG00000236412",NA,NA,0.384895890951157,0.384895890951157
"ENSG00000224049.1_CNV","ENSG00000224049",NA,NA,0.384895890951157,0.384895890951157
"ENSG00000113916.18_CNV","ENSG00000113916","BCL6","BCL6 transcription repressor",0.384895890951157,0.384895890951157
"ENSG00000224187.1_CNV","ENSG00000224187",NA,NA,0.384895890951157,0.384895890951157
"ENSG00000228952.1_CNV","ENSG00000228952",NA,NA,0.384895890951157,0.384895890951157
