"feature","factor","value","view","direction"
"ENSG00000286581.1","Factor5",-0.352451592683792,"CNV","Negative"
"ENSG00000223810.2","Factor5",-0.352451592683792,"CNV","Negative"
"ENSG00000272824.1","Factor5",-0.351637154817581,"CNV","Negative"
"ENSG00000278596.1","Factor5",-0.351637154817581,"CNV","Negative"
"ENSG00000252135.1","Factor5",-0.351637154817581,"CNV","Negative"
"ENSG00000207340.1","Factor5",-0.351637154817581,"CNV","Negative"
"ENSG00000238825.1","Factor5",-0.351637154817581,"CNV","Negative"
"ENSG00000201183.1","Factor5",-0.343791395425797,"CNV","Negative"
"ENSG00000285651.1","Factor5",-0.340591102838516,"CNV","Negative"
"ENSG00000159445.13","Factor5",-0.340591102838516,"CNV","Negative"
"ENSG00000200834.1","Factor5",-0.338404566049576,"CNV","Negative"
"ENSG00000226801.2","Factor5",-0.338404566049576,"CNV","Negative"
"ENSG00000251748.1","Factor5",-0.338404566049576,"CNV","Negative"
"ENSG00000238886.1","Factor5",-0.338404566049576,"CNV","Negative"
"ENSG00000238300.1","Factor5",-0.338404566049576,"CNV","Negative"
"ENSG00000227971.1","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000214147.2","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000273370.1","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000232610.1","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000163347.6","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000113946.3","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000231047.1","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000205835.9","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000196083.10","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000228730.2","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000216058.1","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000230077.1","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000238077.1","Factor5",0.385163992643356,"CNV","Positive"
"ENSG00000233565.1","Factor5",0.38522681593895,"CNV","Positive"
"ENSG00000073849.15","Factor5",0.38522681593895,"CNV","Positive"
